date,cutlery,tips,order_price,uid,order_id
2022-01-17 06:38:43,3,100,1001,120967,73041443
2022-01-23 11:09:22,4,110,309,325757,60500835
2022-01-24 19:40:03,1,10,891,986730,43230531
2022-01-14 18:01:22,5,70,749,868648,46180789
2022-01-19 22:32:43,2,10,469,863523,59266169
2022-01-05 11:45:43,4,90,340,728911,51050143
2022-01-01 08:52:23,4,0,0,779134,15841612
2022-01-01 06:21:14,6,0,0,751242,83957554
2022-01-24 11:45:30,1,70,445,594275,61860247
2022-01-23 05:48:53,1,50,464,596696,80813955
2022-01-24 20:09:36,4,60,704,841410,15417322
2022-01-22 05:58:11,4,100,467,716764,48248959
2022-01-23 10:21:36,4,10,727,782856,62224937
2022-01-28 23:46:49,1,90,855,667257,17012903
2022-01-13 16:27:18,1,10,928,822014,34667331
2022-01-03 09:02:21,1,50,347,908699,78733530
2022-01-03 23:01:52,1,60,716,951035,99145380
2022-01-03 01:43:15,4,10,692,410035,36746722
2022-01-26 13:48:12,3,150,1097,255228,33800999
2022-01-03 12:28:33,1,60,432,246178,11181027
2022-01-24 17:41:40,4,80,410,379574,38399902
2022-01-04 07:25:25,1,50,661,279277,96861715
2022-01-12 07:04:59,4,90,450,804270,83109763
2022-01-26 13:22:38,4,140,1161,781632,56865155
2022-01-07 23:51:14,1,50,949,643312,53478851
2022-01-24 03:10:57,2,80,543,434519,58952039
2022-01-01 19:51:35,4,0,0,307676,43056019
2022-01-10 11:44:53,3,10,551,559762,91176860
2022-01-20 02:53:04,1,70,895,844704,92563194
2022-01-31 16:08:17,3,30,473,945896,15708228
2022-01-07 03:52:11,6,170,676,463468,71267012
2022-01-02 21:27:39,4,10,926,148527,73472532
2022-01-06 04:55:53,4,70,424,482303,39408293
2022-01-03 12:14:51,2,110,366,191136,61202042
2022-01-14 19:55:40,3,40,694,583135,22606954
2022-01-14 11:33:23,3,90,442,782855,42516956
2022-01-08 23:36:13,4,20,890,911427,18625955
2022-01-29 04:34:21,1,90,1004,206752,52190423
2022-01-09 12:43:20,1,50,519,270421,71940770
2022-01-17 02:55:59,1,20,934,863698,41553759
2022-01-25 04:56:04,4,90,653,141874,53584439
2022-01-26 10:20:03,4,120,347,953635,34690781
2022-01-24 04:32:24,2,40,479,207294,95809867
2022-01-21 13:21:09,2,30,539,374563,96616191
2022-01-30 08:04:06,2,10,699,377757,45779416
2022-01-07 15:50:31,5,120,838,821544,40366642
2022-01-14 11:48:06,3,80,1009,638996,88412506
2022-01-23 12:46:30,1,40,911,387240,12080991
2022-01-04 10:09:07,1,90,368,421669,44472159
2022-01-01 21:58:31,5,0,0,741562,51847053
2022-01-04 11:39:33,5,110,457,469100,39888615
2022-01-24 06:59:59,4,70,754,824380,71483488
2022-01-31 17:21:48,3,110,861,686259,39708422
2022-01-16 18:15:57,3,120,591,304798,77968684
2022-01-01 16:07:42,5,0,0,806167,49572522
2022-01-06 03:38:27,4,40,418,403807,50605807
2022-01-10 19:01:19,5,170,674,599249,97324445
2022-01-14 07:10:48,5,90,406,246522,86555430
2022-01-05 09:19:35,5,80,705,800509,11920949
2022-01-15 04:48:56,3,80,565,416477,74989863
2022-01-09 11:38:09,2,80,739,311021,17508280
2022-01-01 14:22:12,5,0,0,591476,75539071
2022-01-24 00:01:26,2,80,717,748283,11820954
2022-01-08 07:30:05,4,120,753,394149,56513258
2022-01-28 01:29:36,2,110,990,543283,65130721
2022-01-28 02:17:05,4,40,523,921578,28139241
2022-01-03 15:53:27,4,20,535,894510,18926196
2022-01-01 06:42:52,6,0,0,520889,93339208
2022-01-10 20:41:00,3,120,1024,412498,54354857
2022-01-08 17:35:39,2,10,829,498088,89196315
2022-01-15 08:30:53,1,50,930,374772,14911039
2022-01-12 08:42:12,4,50,871,322511,17716338
2022-01-17 19:26:11,5,150,851,837397,15450713
2022-01-08 21:25:53,4,70,1003,464894,92230072
2022-01-11 19:02:33,6,150,763,395828,71959728
